1113930,嘉祐三年九月受命来岭外七年十一月得请知济州感恩顾己喜不自胜留诗四章以志岁月
1218616,延祐三年东平申屠先生掾山南宪司行部夷陵毁曹操祠为孔子庙歌颂赋论者夥矣后四十年余亦赋一首
1058491,元祐三年八月初六日得报已有代者归期可数喜动于中载形歌咏
1141643,范文正公黄素小楷昌黎伯夷颂盖宋皇祐三年十一月在青社所书以遗京西转运使苏公舜元者也后二百四十年大兴李侯戡得此本于燕及南来守吴乃文正公乡里即访公子孙以畀之范氏喜而索诗为赠
1052220,元祐三年同深之学士子开侍郎在初考今复承乏有怀旧游因作此诗并幕次唱酬二章寄呈深之学士子开侍郎 其一
905321,嘉祐三年九月受命来岭外七年十一月得请知济州感恩顾己喜不自胜留诗四章以志岁月 其二
355053,元祐三年同深之学士子开侍郎在初考
354656,元祐三年·数烛知归日
905319,嘉祐三年九月受命来岭外七年十一月得请知济州感恩顾己喜不自胜留诗四章以志岁月 其一
1127468,元祐三年同深之学士子开侍郎在初考今复承乏有怀旧游因作此诗并幕次唱酬二章寄呈深之学士子开侍郎
347854,元祐三年八月初六日得报已有代者归期可数喜动于中载形歌咏
905320,嘉祐三年九月受命来岭外七年十一月得请知济州感恩顾己喜不自胜留诗四章以志岁月 其三
982313,元祐三年余被召至京师从翰林苏先生过兴国浴室院始识汶师后二年复来阅诸公诗因次韵
886322,宝祐三年上巳风雨连日成短歌寄谊儒侄
905318,嘉祐三年九月受命来岭外七年十一月得请知济州感恩顾己喜不自胜留诗四章以志岁月 其四
910045,某顷元祐三年春礼部不第蒙东坡先生送之以诗黄鲁直诸公皆有和诗今年秋复下第将归耕颍川辄次前韵上呈编史内翰先生及乞诸公一篇以荣林泉不胜幸甚
1052221,元祐三年同深之学士子开侍郎在初考今复承乏有怀旧游因作此诗并幕次唱酬二章寄呈深之学士子开侍郎 其二
